Species	№ base / server	Total trinity 'genes'	Total trinity transcripts	Percent GC	N10	N20	N30	N40	N50	Median contig length	Average contig	Total assembled bases	Source
M. ochrogaster													Genome
C. griseus													Genome
L. brandtii		371688	460613	47.98	8363	6176	4700	3584	2573	378	969.34	446492765	SRA
L. mandarinus		357635	452815	47.83	8005	5890	4556	3495	2552	385	985.17	446100619	SRA
A. fortis		72651	91394	49.47	4533	3432	2703	2136	1644	379	824.9	75390873	SRA
M. pennsylvanicus		79568	115517	46.79	6390	4802	3837	3048	2388	422	1058.27	122248017	SRA 
A. amphibius		320461	417344	47.07	7297	5319	4097	3158	2343	460	1061.62	443062418	SRA
E. lutescens		406446	537142	46.85	8238	6053	4626	3531	2569	389	1007.65	541249517	SRA 
C. glareolus		88559	136534	49	6519	4921	3987	3250	2619	437	1142.13	155940249	SRA
L. gregalis	greg1, greg2, greg3 (4872-4874)	34750	47038	49.93	7249	5480	4461	3711	3043	699	1485.45	69872555	наш
L. raddei	raddei1, raddei2, raddei3 (4869-4871)	41891	63394	49.91	8180	6327	5139	4320	3571	853	1740.48	110335828	наш
T. subterraneus	TS1, TS2 (4875, 4876)	76865	120144	49.73	5787	4515	3718	3066	2508	575	1227.63	147492207	наш
A. lemminus	5017, 5018, 5019	62348	89610	49.83	6367	4881	4007	3294	2679	527	1254.82	112444261	наш
L. sibiricus	4991, 4992	48891	69517	49.82	5761	4534	3790	3129	2580	618	1293.65	89930905	наш
M. schisticolor	5020	55375	77236	48.98	5965	4681	3853	3174	2579	533	1224.39	94567361	наш
O. zibethicus		42898	57009	49.24	5116	3989	3306	2722	2213	563	1138.91	64927930	наш
P. schaposchnikowi	PromL, PromD	45751	69046	49.8	6682	5114	4223	3520	2890	694	1435.51	99115921	наш
D. torquatus	5439	58226	76013	49.51	4825	3769	3068	2501	2005	349	758.86	44185371	наш
C. nivalis	5440, 5441	46957	71753	49.78	7523	5764	4673	3904	3219	775	1592.66	114277997	наш
Clethrionomys sp.	5000	61341	88597	48.88	5419	4320	3587	2985	2478	534	1196.57	106012730	наш
C.rutilus 1	A10,A12	306513	366878	47.74	13048	6265	4322	3101	2154	337	857.75	314688906	наш
C. rutilus 2	A15, A16	207999	255496	49.01	6246	4489	3458	2651	1925	321	788.99	201584158	наш
Cr. Rufocanus	A18	96834	126016	50.47	5219	3992	3258	2627	2067	362	905.91	114159597	наш
C.glareolus	A22	146830	177971	49.28	4683	3541	2745	2083	1503	324	722.49	128581781	наш
A. tuvinicus	5538	34213	43277	48.46	5553	4363	3612	2976	2444	595	1229.37	53203495	наш
A. macrotis	5535, 5536, 5537	104118	144169	48.6	7132	5522	4492	3683	2963	452	1232.71	177718380	наш
L. lagurus	5465, 5466	51344	74614	49.24	6375	5020	4179	3492	2880	618	1377.06	102748169	наш
M. oeconomus	A2, A3	235488	295931	49.18	6416	4583	3512	2657	1947	347	829.35	245430024	наш
M. agrestis	A5	96753	120383	50.16	3890	2975	2349	1832	1396	338	718.74	86524189	наш
